Festival_name,Tithi,Nakshatra,tamil_month,tamil_day,vaara,adhik_maasa,calendar_type,icon_file,Festival_en,Festival_ta,Festival_te,Festival_ka,Festival_hi,Festival_ml
Aadi Perukku,,,4,18,,,0,aadi_perukku.png,Aadi Perukku,ஆடி பெருக்கு,ఆది పెరుక్కు,ಆದಿ ಪೆರುಕ್ಕು,आदि पेरुक्कु,ആടി പെരുക്ക്
Akhuratha Sankashti,19,,10,,,,2,chathurthi.png,Akhuratha Sankashti/Sankatahara Chathurthi,அகுரத சங்கஷ்டி/சங்கடஹர சதுர்த்தி,అఖురథ సంక్షోభి/సంకటహర చతుర్థి,ಅಖುರಾತ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,अखुरथ संकष्टी/संकटहर चतुर्थी,അഖുരത പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Akshaya Tritiyai,3,,2,,,,0,festival.png,Akshaya Tritiyai/Akha Teej,அக்ஷய திரிதியை/அகா தீஜ்,అక్షయ తృతీయై/అఖ తీజ్,ಅಕ್ಷಯ ತೃತೀಯೈ/ಅಖಾ ತೀಜ್,अक्षय तृतीयाई/आखा तीज,അക്ഷയ തൃതീയ/അഖ തീജ്
Amalaka Ekadashi,11,,12,,,,2,ekadashi.png,Amalaka Ekadashi,அமலகா ஏகாதசி,అమలక ఏకాదశి,ಅಮಲಕ ಏಕಾದಶಿ,आमलका एकादशी,അമലക ഏകാദശി
Anant Chaturdashi,14,,6,,,,2,festival.png,Anant Chaturdashi,அனந்த சதுர்தசி,అనంత చతుర్దశి,ಅನಂತ ಚತುರ್ದಶಿ,अनंत चतुर्दशी,അനന്ത ചതുർദശി
Annada Ekadashi,26,,6,,,,2,ekadashi.png,Annada/Aja Ekadashi,அன்னதா/அஜ ஏகாதசி,అన్నద/అజ ఏకాదశి,ಅನ್ನದ/ಅಜ ಏಕಾದಶಿ,अन्नदा/अजा एकादशी,അന്നദ/അജ ഏകാദശി
Anuvashtaka Srartha tithi,24,,6,,,,0,srartha.png,Anuvashtaka Sratha tithi Sratha tithi,அனுவாஷ்டக ஸ்ரார்த்த திதி,అనువాష్టక స్రార్థ తిథి,ಅನುವಾಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अनुवाष्टका श्रार्थ तिथि,അനുവാഷ്ടക സ്രാർത്ത തിഥി
Anuvashtaka Srartha tithi,24,,9,,,,0,srartha.png,Anuvashtaka Sratha tithi Sratha tithi,அனுவாஷ்டக ஸ்ரார்த்த திதி,అనువాష్టక స్రార్థ తిథి,ಅನುವಾಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अनुवाष्टका श्रार्थ तिथि,അനുവാഷ്ടക സ്രാർത്ത തിഥി
Anuvashtaka Srartha tithi,24,,10,,,,0,srartha.png,Anuvashtaka Sratha tithi Sratha tithi,அனுவாஷ்டக ஸ்ரார்த்த திதி,అనువాష్టక స్రార్థ తిథి,ಅನುವಾಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अनुवाष्टका श्रार्थ तिथि,അനുവാഷ്ടക സ്രാർത്ത തിഥി
Anuvashtaka Srartha tithi,24,,11,,,,0,srartha.png,Anuvashtaka Sratha tithi Sratha tithi,அனுவாஷ்டக ஸ்ரார்த்த திதி,అనువాష్టక స్రార్థ తిథి,ಅನುವಾಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अनुवाष्टका श्रार्थ तिथि,അനുവാഷ്ടക സ്രാർത്ത തിഥി
Anuvashtaka Srartha tithi,24,,12,,,,0,srartha.png,Anuvashtaka Sratha tithi Sratha tithi,அனுவாஷ்டக ஸ்ரார்த்த திதி,అనువాష్టక స్రార్థ తిథి,ಅನುವಾಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अनुवाष्टका श्रार्थ तिथि,അനുവാഷ്ടക സ്രാർത്ത തിഥി
Apara Ekadashi,26,,3,,,,2,ekadashi.png,Apara Ekadashi,அபர ஏகாதசி,అపర ఏకాదశి,ಅಪರ ಏಕಾದಶಿ,अपरा एकादशी,അപാര ഏകാദശി
Arudra Darshan,,6,9,,,,0,arudra_darshan.png,Arudra Darshan,ஆருத்ரா தரிசனம்,ఆరుద్ర దర్శనం,ಆರುದ್ರ ದರ್ಶನ,अरुद्र दर्शन,ആരുദ്ര ദർശനം
Ashadha Ekadashi,11,,4,,,,2,ekadashi.png,Ashadha Ekadashi,ஆஷாட ஏகாதசி,ఆషాఢ ఏకాదశి,ಆಷಾಢ ಏಕಾದಶಿ,आषाढ़ एकादशी,ആഷാഢ ഏകാദശി
Ashtaka Srartha tithi,23,,6,,,,0,srartha.png,Ashtaka Sratha tithi Sratha tithi,அஷ்டக ஸ்ரார்த்த திதி,అష్టక స్రార్థ తిథి,ಅಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अष्टका स्रार्थ तिथि,അഷ്ടക സ്രാർത്ത തിഥി
